Code;X;Y;A;eco01res;eco02res;eco03res;eco04res;eco05res;eco06res;eco07res;eco08res;eco09res;eco10res;eco11res;eco12res;eco13res;eco14res;eco15res;eco16res;eco17res;eco18res;eco19res;eco20res;eco21res;eco99res;HER1;ObsPost2012;KGE_Sim;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
H1231010;758500;2377500;0;0;0;0;0;0;0;0;0;0.05719;0.94281;0;0;0;0;0;0;0;0;0;0;0;0;9;2019;0.837390273395793;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H1362010;757500;2385500;0;0;0;0;0;0;0;0;0;0.84912;0.15088;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.835915769319809;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H1603010;715500;2401500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2280;0.67108537796778;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H1713010;688500;2387500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2199;0.694896057591202;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2473010;716500;2334500;0;0;0;0;0;0;0;0;0;0.75726;0.24274;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.893609886221842;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2622010;680500;2353500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.824527601014979;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H3021010;636500;2316500;0;0;0;0;0;0;0;0;0;0.98376;0.01624;0;0;0;0;0;0;0;0;0;0;0;0;9;2282;0.904804565640218;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H3102010;671500;2303500;0;0;0;0;0;0;0;0;0;0.44444;0.55556;0;0;0;0;0;0;0;0;0;0;0;0;9;2038;0.823759609089754;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H3122010;656500;2318500;0;0;0;0;0;0;0;0;0;0.83533;0.16467;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.922316543334185;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H3122020;639500;2327500;0;0;0;0;0;0;0;0;0;0.89041;0.10959;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.917918025408053;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H3203310;627500;2324500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;2283;0.650943623951853;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H3322010;625500;2333500;0;0;0;0;0;0;0;0;0;0.06765;0;0;0;0;0;0;0;0;0;0;0.93235;0;0;9;2283;0.871112623960053;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H3522010;620500;2345500;0;0;0;0;0;0;0;0;0;0.39733;0;0;0;0;0;0;0;0;0;0;0.60267;0;0;9;1494;0.805821405885338;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H3613020;632500;2369500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.703193934962306;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H4022010;601500;2387500;0;0;0;0;0;0;0;0;0;0.77471;0;0;0;0;0;0;0;0;0;0;0.22529;0;0;9;0;0.645840828423943;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H4022020;601500;2387500;0;0;0;0;0;0;0;0;0;0.77471;0;0;0;0;0;0;0;0;0;0;0.22529;0;0;9;2283;0.714760772447067;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H4223110;577500;2397500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.851462993023159;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H4252010;600500;2407500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.783477895062221;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H4322010;642500;2406500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.877429618460178;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H4322020;628500;2405500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.727413483091731;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H4332020;613500;2411500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.839941275133446;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H4333410;619500;2414500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2130;0.772180081121578;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H5083010;788500;2400500;0;0;0;0;0;0;0;0;0;0.43992;0.56008;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.828888270242554;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H5102020;797500;2421500;0;0;0;0;0;0;0;0;0;0.125;0.875;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.891082182885771;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H5142610;800500;2435500;0;0;0;0;0;0;0;0;0;0.11009;0.88991;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.842529812815921;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H5142620;786500;2425500;0;0;0;0;0;0;0;0;0;0.52093;0.47907;0;0;0;0;0;0;0;0;0;0;0;0;9;2213;0.704826981884227;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H5213310;736500;2428500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.720473315831754;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H5302010;687500;2450500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2262;0.837176490166034;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H5412010;687500;2430500;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2283;0.816767663625986;;;;;;;;;;;;;;;;;;;;;;;;;;;;
